company_location,company_name,description,short_description,title
Thành phố Hồ Chí Minh,Lixibox,"Department. Tech. Salary. Negotiable. Commitment. Full Time. Location. Hồ Chí Minh. Job description. About the Company. Lixibox is a lifestyle consumer e-commerce platform in Vietnam that focuses on bringing niche and cool brands from all over the world into the market. We have been growing the number of customers as well as the product lines significantly in the last 5 years. All these insane growth are backed by an amazing technological system built by a talented team lead by Silicon Valley veterans. We are a diversified group of dynamic and fearless engineers who built a full-size e-commerce system from scratch, supporting both desktop and mobile apps on iOS and Android, running on one of the top cloud platforms. Do you want to be part of this awesome group? Then read on. Responsibilities. As a senior member of the engineering team, you are expected t. Fully understand the business of building an e-commerce platform from both operational and technological standpoints. Deeply involve in the design and development of Lixibox.com backend system. Be able to improve the system to achieve scalability, high performance and security. Work with other team members to build new systems that serve the operational needs as well as expanding the company to new sectors. Mentor junior members to ramp up and raise the team's quality. Have fun and grow yourself to the next level. Requirements. At least 5 years experience in an IT company with relevant large-scale backend system. Experience working in a startup environment is a huge, huge bonus. Excellent software engineering skills, with fully vetted development cycle such as understanding the requirements, design, implementation, testing and deployment. Excellent coding and problem solving skills with mentality to tackle challenging tasks. Be able to work independently in a fast-pace environment focusing on deliverables. Experiences with Ruby on Rails framework are strongly preferred, but experiences with similar backend framework such as NodeJS/Python/Golang are acceptable. Prove yourself to be a fast learner, willing to learn new languages/tooling/frameworks. Experience CI/CD and cloud platform deployment such as AWS/Google Cloud are strongly preferred. Good knowledge about software testing, automation testing (Rspec, Capybara, JUnit, GoTest) is a big bonus. Experience working with JS/HTML/CSS/ReactJS is a bonus. Experience working with mobile responsive layout. Experience working with the Git version control system is a must. Basic ability to communicate in English is a must. Benefits. Join one of the best tech teams in Vietnam (Seriously. Salary: $1,700 - $2,500/month (Negotiable. Attractive annual raise/bonus (subject to performance achievement. Top-of-the-line equipment to perform your work: Laptop (MacBook or PC) and large screen monitors. Private PVIHealthcare Insurance. Employee discount upon buying on Lixibox.com. Daily fresh lunch and yoga class at office. pportunities to go on business trips to US, Japan, China and attend international seminars to meet the world's top engineers. 12-day annual leave per year. Play Sport: Badminton, yoga. Flexible work from home policy","Excellent. engineering skills, with fully vetted development cycle such as understanding the requirements, design, implementation, testing and…",Staff Software Engineer - Backend
Thành phố Hồ Chí Minh,KMS Technology,"About KMS. Established in 2009, KMS Technology started as a U.S.-based engineering and software services company with development centers in Vietnam. Over 12 years of operation, the company has been trusted by international clients for the superior quality of Vietnamese engineers' products and expertise. Besides providing services, KMS builds and successfully launches its own software companies through its internal startup incubator, KMS Labs. The most notable companies with millions of users worldwide include QASymphony, Kobiton, Katalon, and Grove. About Grove. Grove HR is an all-in-one HR platform that helps small and medium businesses digitize their Core HR so that they create attractive Digital Employee Experiences. Started in Vietnam, Grove is proudly powering HR at 14,600+ SMBs in more than 10 countries and become one of the world’s favorite HR software. We’re equipping companies across the globe with the right HR Technology to build engaging and personalized journeys for their employees. Eventually, our mission is to make work. inspiring and fulfilling. at scale. At Grove, we believe that being an. employee-centric. company is the key to sustainable success. We constantly innovate our working environment as a long-term commitment. By bringing talented individuals working together in a dynamic environment that enables changes and innovations, we believe success will happen. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Responsibilities. Your key responsibilities. Develop, maintain and execute manual test cases for major projects, maintenance, and emergency releases. Identify, analyze and report test results. Report, track, and monitor defects in the defect tracking system. Investigate defect reports from production support and isolate their causes. Prepare & maintain testing documentation. Work closely with the product team to clarify the requirements. Work closely with the development team to design testing strategies. Work on the interpretation of quality assurance issues and problems for technical and non-technical users. Qualifications. Skills/knowledge you need to be successful. General. 4th year/ new graduate students majoring in Computer Science/ Software Engineering/ related fields. Be READY to work full-time. Has an interest in testing. Required technical skills. Have a good knowledge of manual testing techniques. Have a good knowledge of Software Development Life Cycle + Software Test Life Cycle. Knowledge of data structure and algorithm. Able to take the attention to detail. Ability to effectively manage time, and individually prioritize multiple tasks of competing priority. Nice to have technical skills. Have knowledge about automation testing. Have knowledge about MongoDB. Have coding skills. Able to create & run test cases based on the requirement, estimate testing activities,…. Able to do bug’s root cause analysis. Soft skills. Good oral, reading, written and communication skills. Good attitude and be able to collaborate effectively across teams. Good at critical thinking skill. Good at analysis skill. Good at problem-solving skill. Benefits and Perks. Perks You'll Enjoy. Global software products company. Working & growing with Passionate & Talented Team. Diverse career opportunities with Engineering, Product Development, Business Development, Customer Success/Support...team. Attractive Salary and Benefits. Flexible working time. Various training on state-of-the-art technologies, practices, and soft skills. Premium healthcare insurance for you and your loved ones. Company trip, big annual year-end party every year, team building, etc. Fitness & sports activities: football, tennis, table tennis, badminton, yoga, swimming…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (frisbee, foosball, gym…), coffee, fruit, and snack (instant noodles, cookies, candies…. Join us and let yourself explore other fantastic things",All KMSers will need to working from home to ensure safety. New member will get designated supports. The HR personnel will be available for any support needs of…,"Fresher Test Engineer (QA/QC/Tester), Grove"
Thành phố Hồ Chí Minh,LogiGear,,"LogiGear is looking for talented engineers with a great passion for designing and developing test cases, either manual or Automation, using various…",Automation Test Engineer
Thành phố Hồ Chí Minh,Grove,,"KMS builds and successfully launches its own. companies through its internal startup incubator, UpStar Labs. Identify, analyze and report test results","Test Engineer (QA/QC/Tester), Grove"
Thành phố Hồ Chí Minh,KMS Technology,"Company Description. Established in 2009, KMS Technology is a U.S-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers. KMS builds and successfully launches its own software companies through its internal startup incubator, UpStar Labs. Most notable companies include QASymphony, Kobiton, Katalon, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row. . Acknowledgement of Covid-19 pandemic. All KMSers will need to working from home to ensure safety. New member will get designated supports. Working devices will be delivered at door upon the new member's joining date. nboarding will be organized virtually by both the HR personnel and the new team. The HR personnel will be available for any support needs of the new member. Job Description. The Brilliant Career You Love. Are you passionate about innovative software development and be eager to sharpen your expertise every day. Do you want to be a part of the Great Team who create awesome billion-dollar Software Products for U.S clients. Do you love to work in the top-notch IT Company in Vietnam with Good Investment into People Development. If yes, we strongly believe that you will enjoy each single working day at KMS Technology. The vacancy is an ideal job for the beginners who would like to have a good start for a great career. The winning candidates will have the opportunity to become a Software Engineer – one of the hottest skills in the industry trends. You will be trained and worked on complex systems using cutting-edge technology based frameworks. Besides, you will work with talented developers, following high standard software development practices and CI/CD processes. Your key responsibilities. Participate in all software development activities following Scrum process. Design solutions and approach for software features or subsystems. Write high-quality code to implement software features or fix bugs. Perform unit testing, documentation and all other activities defined in Definition of Done before passing source code to Testing team. Communicate and report internally or directly to client on status or result of work. Qualifications. Skills/knowledge you need to be successful. Final year student/ new graduate/ less than 1 year of experience. Ready to work full-time officially. Bold passion for IT software and testing. Good IT background, critical and logical thinking skills. English: good writing and reading skills. Commitment to excellence and self-improvement. Good knowledge of NodeJS & backend development. Understanding of design patterns, object-oriented programming. Nice to have. Good knowledge of ReactJs / Redux is a big plus. Ability to perform as a full-stack developer is a plus. Additional Information. BE YOUR BEST WITH KMS. Working in one of the Best Places to Work in Vietnam. Building large-scale & global software products. Working & growing with Passionate & Talented Team. Diverse careers opportunities with Software Outsourcing, Software Product Development, IT Solutions & Consulting. Attractive Salary and Benefits. Performance appraisals every year. nsite opportunities: short-term and long-term assignments in North America (U.S, Canada), Europe, Asia. Flexible working time. Various training on hot-trend technologies, best practices and soft skills. Premium healthcare insurance for you and your loved ones. Company trip, big annual year-end party every year, team building, etc. Fitness & sport activities: football, tennis, table-tennis, badminton, yoga,…. Joining community development activities: 1% Pledge, charity every quarter, blood donation, public seminars, career orientation talks,…. Free in-house entertainment facilities (foosball, ping pong, gym…), coffee (latte, cappuccino, espresso) and snack (instant noodles, cookies, candies…. And much more. Send your. Resume including Academic Transcript. to join us and let yourself explore other fantastic things",Participate in all. development activities following Scrum process. Design solutions and approach for. features or subsystems,Fresher NodeJS Software Engineer
Thành phố Hồ Chí Minh,Bosch Group,"Company Description. The Bosch Group is a leading global supplier of technology and services. In 2013, its roughly 281,000 associates generated sales of 46.4 billion Euros. Since the beginning of 2013, its operations have been divided into four business sectors: Automotive Technology, Industrial Technology, Consumer Goods, and Energy and Building Technology. The Bosch Group comprises Robert Bosch GmbH and its roughly 360 subsidiaries and regional companies in some 50 countries. If its sales and service partners are included, then Bosch is represented in roughly 150 countries. This worldwide development, manufacturing, and sales network is the foundation for further growth. RBVH - Robert Bosch Engineering and Business Solutions Vietnam Company Limited is 100% owned subsidiary of Robert Bosch GmbH. RBVH has started its operations from 19th October, 2010 at e-Town2 in HCMC. This engineering development center will be engaged in developing embedded systems and software, mechanical design and simulation, and will provide IT (SAP Consulting, JAVA Development….) and Business Services (Finance and accounting, Economics, Purchasing, Logistics, Translations Japanese-English-Japanese, Information Security ) solutions to the Bosch group of companies globally. Job Description. Design stable, reliable and effective databases. ptimize and maintain legacy systems. Modify databases according to requests and perform tests. Solve database usage issues and malfunctions. Liaise with developers to improve applications and establish best practices. Gather user requirements and identify new features. Develop technical and training manuals. Provide data management support to users. Ensure all database programs meet company and performance requirements. Qualifications. Bachelor degree in IT/ Computer Science or relevant background. Final-year students or Fresh Graduate are welcome to apply. Source Control Tools: GIT, sourcetree. Good knowledge in data warehouse. Experience with SQL Developer. Knowledge of Agile methodologies. Minimum 2 - 3 years in oracle database development. Strong experience with oracle functions, procedures, triggers, packages & performance tuning. Hands on development using SQL, PL/SQL. Good English communication skills. Additional Information. Why. BOSCH. . Because we don't just follow trends, we. create. them. Because together we turn ideas into reality, working every day to make the world of tomorrow a better place. Do you have high standards when it comes to your job? So do we. At Bosch, you will discover more than just work. Benefits and Career Opportunities for Internship. Monthly Internship Allowance + Support allowance (Meal & Parking. Good benefits of Trade Union. activities, team building and company trip. pportunity to work in. global projects. f fast developing company. and. being a part of innovation team. contributing initiative ideas to the hi-tech world. Engage in our. diverse. training programs. which surely help strengthen both your personal and professional skills. Benefits and Career Opportunities for Fresh Graduate. 13th-month salary bonus. attractive. performance bonus. you'll love it!) + annual performance appraisal. 100% monthly basic salary. and. mandatory social insurances. in 2-month probation. nsite opportunities. short-term and long-term assignments. 15++ days of annual leave. 1 day of birthday leave. Premium health insurance for employee and. 02 family members. Flexible working time. Lunch and parking allowance. Various training on hot-trend technologies/ foreign language (English/Chinese/Japanese) and soft-skills. Fitness & sport activities. football, badminton, yoga, Aerobic. Free in-house entertainment facilities and snack. Join in various team building, company trip, year-end party, tech talks and a lot of charity events","This engineering development center will be engaged in developing embedded systems and. mechanical design and simulation, and will provide IT (SAP…",[ETM5] Data Engineer
Thành phố Hồ Chí Minh,Bosch Group,"Company Description. The Bosch Group is a leading global supplier of technology and services. It employs roughly 394,500 associates worldwide (as of December 31, 2020). According to preliminary figures, the company generated sales of 71.6 billion euros in 2020. Its operations are divided into four business sectors: Mobility Solutions, Industrial Technology, Consumer Goods, and Energy and Building Technology. The Bosch Group comprises Robert Bosch GmbH and its roughly 440 subsidiaries and regional companies in some 60 countries. If its sales and service partners are included, then Bosch is represented in roughly 126 locations. This worldwide development, manufacturing, and sales network is the foundation for further growth. RBVH - Robert Bosch Engineering and Business Solutions Vietnam Company Limited is 100% owned subsidiary of Robert Bosch GmbH. RBVH has started its operations from 19th October, 2010 at E-Town2 in HCMC. This engineering development center will be engaged in developing embedded systems and software, mechanical design and simulation, and will provide IT (SAP Consulting, JAVA Development….) and Business Services (Finance and accounting, Economics, Purchasing, Logistics, Translations Japanese-English-Japanese, Information Security ) solutions to the Bosch group of companies globally. Job Description. As an. Mechanical Engineering Intern. your daily challenges would be. Support to create 3D model & 2D drawing using Solidworks, Inventor, Creo, NX. R perform mechanical simulation task using: Abaqus, Ansys, Altair. Support to machinery parts, machine design. Do the design modification, Engineering Change Request. Follow Project quality process and documentation. Mechanical Simulation. Qualifications. A good match would have. 3rd or 4th student in Mechanical/ Mechatronics, Computational Engineering or relevant background. Be able to join full-time internship. Able to communicate in English. Strong Solidworks, Autodesk, Inventor, PTC Creo software skills for Design intern. CAE: Ansys, Abaqus, Hyperwork for simulation intern. Electrical E-plan, PLC, automation design for Automation intern. Knowledge of mechanical drawing, Geometric dimension & tolerance. Ability to provide solution to engineering problems. Additional Information. What are your benefits when joining the Internship Program at BOSCH. Joining. dynamic English-speaking multi-culture work environment. working with the young and dynamic team. Joining professional training technical skills & soft-skills (on-the-job training. Furthermore, we also offer you. Internship allowance. during the internship program. Meal & Parking allowances","Strong Solidworks, Autodesk, Inventor, PTC Cre. skills for Design intern. This engineering development center will be engaged in developing embedded…",Mechanical Design Engineer Intern (ENM1)
Thành phố Hồ Chí Minh,Motorola Solutions,"If you are a current Motorola Solutions employee, please click this link to apply through your Workday account. Company Overview. At Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently. Whether it’s helping firefighters see through smoke, enabling police officers to see around street corners, or reliably keeping the lights on in homes and businesses around the world, our work supports those who put their lives on the line to keep us safe. Bring your passion, potential and talents to Motorola Solutions, and help us usher in a new era in public safety and security. Department Overview. LEARN APPLICATIONS. Job Description. Work with US engineering team to design and develop PHP web applications. Provide technical support, bug fixing and features improvement to existing PHP web applications. Basic Requirements. Bachelor Degree with. IT (Major: Software Development. 2+ years experience with modern PHP (version 5.6+, composer, PD. 2+ years experience with MySQL, PostgreSQL or SQL server. Experience with git SCM. Experience with Laravel framework (version 5. Experience with front-end technologies (HTML, CSS, Javascript. English proficiency (speaking and writing. Travel Requirements. None. Relocation Provided. None. Position Type. New Grad. Referral Payment Plan. N","Work with US engineering team to design and develop PHP web applications. Provide technical support, bug fixing and features improvement to existing PHP web…",Software Engineer
Thành phố Hồ Chí Minh,Intel,"Job Description. The main task as an PIC Automation Engineer is to support client based Station Controller system maintenance, troubleshooting, upgrade, user training and at the same time drive for root cause analysis for incidents, following through with the different support groups to resolve the incidents. On top of that, the candidate requires to learn up and be familiar with the overall manufacturing business process and utilize it for system enhancement and drive for wastage reduction through LEAN effort. The candidate would perform system validation/testing, troubleshooting, quality control and partner with Virtual Factory for knowledge and issue sharing. The candidate will also need to be on call 24x7. As a PIC Automation Engineer in this group, you will have the opportunity to be exposed to the industry demanded equipment and automation integration skills, crisis management, IT technical skills and being involved in, or leading site wide or VF automation project. You will also have the opportunity to work closely with cross domain peers involving Module Engineer, Product Engineer, Quality/Reliability Engineer, Planning, Technician, Operator, Database Administrator, Network, Infrastructure and many other critical functional groups. If you have the desire to work with the best, take on these challenges and seek to grow in a dynamic and exciting organization, then you are person we are looking for. Qualifications. Possess a Bachelor's or a Master's degree in Computer Science, Computer Engineering or related fields. Strong analytical and problem solving skills. Good interpersonal and communication skills. Fast learner. Able to work under high pressure during some certain periods. Resourceful, creative and innovative in coming out with ideas to resolve issues. Team player. Experience in manufacturing environment, software development, project management, software quality assurance would be an added advantage. Inside this Business Group. Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel. This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. IT is also responsible for e-Commerce development, data hosting and delivery of Web content and services. Privacy Statement. Your privacy matters to Intel and we comply with applicable data protection laws. We collect and maintain personal information for recruitment related activities and your data will not be used for any other purpose. We retain personal information for the periods and purposes set forth in Intel’s Privacy Notice. Retention periods can vary significantly based on the type of information and how it is used. We do not share your personal information with third parties. In order for Intel to communicate with you on your application results, by submitting your information and proceeding with this application, you agree and consent that we can collect your personal information. You will have the ability to opt-out by informing vietnamjobs@intel.com or at any time selecting “unsubscribe” found at the bottom of our future marketing communications. You have rights to correct, update, request access to or deletion of your personal information as described in Intel’s Privacy Notice. In addition, if you wish to update or otherwise make changes to your resume, use Intel’s online application tool to resubmit a new resume","Intel's Information Technology Group (IT) designs, deploys and supports the information technology architecture and hardware/software applications for Intel",Automation engineer
Thành phố Hồ Chí Minh,Roche,"Job purposes/Job summary. The service engineer main responsibility is customer facing, field support service. The major focuses are on timely repair, and installing new and older Roche instruments to ensure minimum instrument downtime and foster work efficiency. Complete in full service reports and complete all paperwork associated with each service activities. A high level of communication within the department with accurate and relevant feedback to the proper departments related to equipment performance. Essential Duties and Responsibilities. Perform preventive maintenance or service repairs such as cleaning, lubricating and adjusting equipment as per the annual planning of the department. Inspect, test, and repair Roche diagnostic instruments and related equipment following manufacturers' specifications, by testing and analyzing the instruments performance. Troubleshoot issues related to Roche diagnostic instruments , providing a high-quality customer service experience. I nstall and de-install equipment at the customer's facility to ensure full functionality according to manufactures specifications. Provide and work in accordance to biosafety guidelines as per Roche and customer guidelines. Keep accurate and timely records of all service activities but not limited to maintenance, repair, installations and required software/ hardware updates of equipment. Diligently manage spare parts submissions with compliance to spare parts processes for stock, installations and return of old spare parts to the department. Job purposes/Job summary. The service engineer main responsibility is customer facing, field support service. The major focuses are on timely repair, and installing new and older Roche instruments to ensure minimum instrument downtime and foster work efficiency. Complete in full service reports and complete all paperwork associated with each service activities. A high level of communication within the department with accurate and relevant feedback to the proper departments related to equipment performance. Essential Duties and Responsibilities. Perform preventive maintenance or service repairs such as cleaning, lubricating and adjusting equipment as per the annual planning of the department. Inspect, test, and repair Roche diagnostic instruments and related equipment following manufacturers' specifications, by testing and analyzing the instruments performance. Troubleshoot issues related to Roche diagnostic instruments , providing a high-quality customer service experience. I nstall and de-install equipment at the customer's facility to ensure full functionality according to manufactures specifications. Provide and work in accordance to biosafety guidelines as per Roche and customer guidelines. Keep accurate and timely records of all service activities but not limited to maintenance, repair, installations and required software/ hardware updates of equipment. Diligently manage spare parts submissions with compliance to spare parts processes for stock, installations and return of old spare parts to the department. Study technical manuals and attend training sessions as instructed by the department management to maintain current instrument based knowledge. Proactively employ the service strategy and KPI’s of the department service. Actively participate to improve resolution rate, instrument up time, department collaboration and support services towards customer satisfaction. Perform Techline on-call/ on-site duty assignment. Commitment to meet the customers’ demands regarding travel, after hours working schedule as requested by the line mangers and department managers. Provide a communication link between the customer and the company to help ensure that effective service is provided to the customer. Conduct business in full compliance to Behavior in Business, Behavior in Competition, Online and compliant post sale service support. Career development for this position. Roche can provide the wide variety of career development opportunities both domestically and internationally. Education and Qualification. Minimum qualification required is diploma in Electronic, Electrical or Mechanical Engineering and with preferably six months to one year related experience. ther skills & abilities. Languages: Vietnamese & English at level of intermediate in <writing/speaking/reading/listening. Able to handle computer operating system such as Window XP, 7 and 2000. While performing the duties of this job, the employee is regularly required to stand; stoop, kneel, crouch, lift and/or move heavy equipment. Specific vision abilities required by this job include color vision. While performing the duties of this job, the employee must be fully aware of the working environment and perform safe work procedures and practices at all times when exposed to moving mechanical parts; bio-hazardous environments and specimens, excessive noise and the risk of electrical shock. Customer care handling skills. Good interpersonal skills. Ability to work independently and as team player. Self-initiative and proactive customer support. Compliance and Safety Health & Environment. Conduct business in full compliance with Roche Code of Conduct, Roche Behavior in Business, Roche guidelines on Safety, Health & Environment (SHE) and Behavior in Competition as well as Roche Values & Leadership Competencies","The service. main responsibility is customer facing, field support service. Keep accurate and timely records of all service activities but not limited…",Service Engineer
Thành phố Hồ Chí Minh,Grab,"Get to know the Role. We are seeking talented & passionate engineers to join our team! You will have opportunities to work on multiple backend services & Web apps. Specifically, in this role, you'll have the opportunity to build out a rich portal serving as a one-stop platform for all our corporate clients. It spans features such as subscriptions, administration, product integrations, external integrations, payment, billing, invoicing and employee onboarding. The day-to-day activities. Design and enhance cutting edge services in GO language setting a high standard for availability, scalability, latency, and efficiency of Grab's range of products. Build and deploy performant modern web applications in React, Redux, Webpack, ES6 Javascript, and Typescript. Work with the engineering team to explore and create new design/architectures geared towards scale and performance, including RESTful APIs. Participate in code and design reviews to maintain our high development standards. Engage in service capacity and demand planning, software performance analysis, tuning, and optimization. Collaborate with product and experience teams to define and prototype feature specifications. Develop end-to-end including ownership of the team’s infrastructure using Terraform, building and scaling back-end services as well as performing root cause analysis investigations. Learn full-stack performance tuning and optimization. Design, build, analyze and debug complex, production software that serve millions of users in Southeast Asia. Write high-quality code (Go, Javascript) as well as unit, functional and end-to-end tests. The must haves. 8+ years of experience in software development, coding with algorithms & data structures. Proficiency developing backend in Golang (preferred) or Java, C++/C, C# or similar. Proficiency developing frontend in React or similar web frameworks, and strong Javascript experience. Cloud development experience. A degree in Computer Science, Software Engineering, Information Technology or related fields. Familiarity with running large scale web services; understanding of systems internals and networking are a necessary. Solid understanding of system performance and scaling. Possess excellent communication, sharp analytical abilities with proven design skills, able to think critically of the current system in terms of growth and stability. Nice-to-haves. Experience shipping web applications and incremental features - from concept to design, development & all the way to production. Experience with Go and/or React programming language. About Grab. Grab is the pioneer in its line of business; we are at the forefront of innovation for B2B as the leading superapp in the region, which makes it an exciting time to be part of this phenomenal growth. Get to know Grab. Grab is more than just the leading ride-hailing and mobile payments platform in Southeast Asia. We use data and technology to improve everything from transportation to payments and financial services across a region of more than 620 million people. We work with governments, drivers, passengers, merchants, and the community, to solve critical problems in Southeast Asia. Grab began as a taxi-hailing app in 2012, but we have since extended our product platform to include GrabCar, GrabShare, GrabBike, GrabHitch, GrabExpress, GrabFood, GrabCoach, GrabShuttle, GrabCycle. We recently launched our fintech platform – GrabFinancial, which consists of payments, lending and insurance. Our latest addition is GrabVentures, an in-house incubation platform. We are focused on pioneering new commuting and payment alternatives for drivers and passengers with an emphasis on convenience, safety, and reliability. Currently, we offer services in 8 countries. Our R&D offices are in Singapore, Seattle, Beijing, Bangalore, Jakarta and Vietnam. We aspire to unlock the true potential of Southeast Asia and look for like-minded individuals to join us on this ride. If you share our vision of driving South East Asia forward, apply to join our team today","8+ years of experience in. development, coding with algorithms & data structures. Engage in service capacity and demand planning. performance…",Lead Software Engineer
Thành phố Hồ Chí Minh,ZALORA SEA,"ZALORA Group. is looking for a. Data Engineer. to join its Data Science Team. As a Data Engineer, you will. Work daily with machine learning problems. For this purpose, you are expected to be involved in the process of collecting, storing, processing, and analyzing data generated from our database, in addition to joining our data scientists in the design of machine learning models. Work in a diverse, international setting with teammates who are experts in various topics. We often conduct workshops to improve our individual skill sets, and to improve our workflow as a team. The role is based in our Vietnam office. Requirements. Bachelor or Master degree in Computer Science or related technical discipline. Fresh graduates with high graduation scores are welcome to apply. 1. Be familiar with. Data structures & algorithms. Basic machine learning algorithms. Any of the following languages: R, Python, Java. Any of the following databases: MySQL, NoSQL, MongoDB, HBase, Cassandra. 2. Be knowledgeable in. bject oriented design and design patterns. Large-scale distributed system systems. Hadoop or Spark framework. ptional: having the following skills is a plus. Good background in statistics. Knowledge in data analysis, data mining, or machine learning. Experience in working with big data. We thank you for your interest, however only shortlisted candidates will be contacted. ZALORA Engineering. ZALORA is the leading e-commerce company providing fashion throughout South East Asia. ZALORA Engineering has teams in Singapore and Vietnam to serve millions of users in Malaysia, Singapore, Hong Kong, Taiwan, Indonesia, Philippines. This regional diversity presents a lot of interesting challenges that you and your colleagues will face. You will learn a lot by tackling these challenges. ZALORA's e-commerce platform is built with love by the engineering team. The Ho Chi Minh office, 12 Ton Dan, D4 (ZALORA Group) focuses completely on engineering and sets a high standard for software development in the field of e-commerce. This team creates the tech stack that powers ZALORA's stellar shopping experience. This ranges from the online shop and the mobile apps to ZALORA's complex logistics solutions. The ZALORA Story. ZALORA exists for the millions of fashion consumers in Asia seeking a shopping experience focused on their unique styles, trends and fit. As Asia’s leading online fashion destination, ZALORA was founded in 2012 and has a presence in Singapore, Indonesia, Malaysia & Brunei, the Philippines, Hong Kong and Taiwan. ZALORA’s localised sites offer an extensive collection of top international and local brands as well as our own in-house labels across apparel, shoes and accessories for men and women. ZALORA is part of Global Fashion Group, the world's leader in online fashion for emerging markets. ZALORA is not obligated to accept resumes from any third parties on behalf of potential candidates for any position (advertised or otherwise) by any means, unless ZALORA has executed a written agreement with such third party and has expressly requested such third party for candidate referrals. Third parties who provide unsolicited resumes of candidate(s) shall waive and forfeit all rights to claim for any placement fees or referral fees in the event that such candidate is eventually engaged or employed by ZALORA or Global Fashion Group. eHuXfOZquK","The Ho Chi Minh office, 12 Ton Dan, D4 (ZALORA Group) focuses completely on engineering and sets a high standard for. development in the field of e…",Data Engineer (Machine Learning)
Thành phố Hồ Chí Minh,V-Key Pte Ltd,"Summary of Role. V-Key is one of the world’s leading deep-tech companies in mobile cyber-security. Our patented technology V-OS has been deployed by top banks, mobile payment providers, and governments to secure software solutions and protect more than 100 million users globally. We are rapidly expanding into new markets and new customer segments. Apart from securing digital transactions for everyone, we are also enabling new generation technology by providing the cyber-security infrastructure for banking, government and smart homes, among many others. At V-Key, we are building towards a future where technology users can enjoy unprecedented security and convenience. We are looking for a Cryptography Engineer as part of the Product Security Department. Duties and Responsibilities. Interfacing/ customizing Hardware Secure Module to provide necessary cryptographic services to our Crypto Assets related product. Study current Cryptography / Security standards and best practices, evaluate our current solution / platform architecture against them and provide improvement proposals. Study security requirements for cloud computing & IoT edge computing use cases, evaluate the gaps between those requirements and what our existing product provides. Provide Cryptography consultancy to other teams, promote security best practises in coding and utilization of cryptographic functionalities. Willingness to travel as necessary. Requirements. Must have. Bachelor’s degree or above in Computer Science or other Natural Science/Mathermatics major; or equivalent experience. Strong interested and passionate in Cryptography and Security. Programming skill (able to use C and Java, Python and Shell scripting experience is also preferred. Have good understandings on various Cryptography Primitives and their properties. Ability and willingness to study new technology and methodology. Self-driven, able to translate requirements into action items. Critical thinking and problem solving capabilities. Excellent written and verbal communication skills in both Vietnamese and English. Nice to have. Prior experience with development role and architecture design role in Cryptography / Security sector is preferred. Able to explain complex concepts in simple terms to a non-technical audience. Able to Identify customers' needs and provide recommendation based on security best practices and our product strategy. Ability to identify unconventional trends and emerging technologies. Ability to aggregate information from a variety of sources including technical repositories and anecdotal feedback from teams, then draw informed conclusions from incomplete information. Comfortable with collaboration, open communication and reaching across functional borders. Team player with good interpersonal and communication skills. Good time-management skills. Sense of ownership and pride in your performance and its impact on company’s success",Interfacing/ customizing Hardware Secure Module to provide necessary cryptographic services to our Crypto Assets related product,Cryptography Engineer
