code,description,outcome,title
COSC1226,"This course introduces key topics, principles and techniques of real-time rendering and 3D games programming and provides an opportunity for you to pursue a games or real-time rendering programming project. The formal lecture series covers material from a range of topics, with students expected to incorporate relevant components into their assignments and projects. Most assignments use OpenGL as the primary 3D graphics library, GLSL as the shading language, C/C++ as the primary programming language and to run under the Linux operating system. Please note that if you take this course for a bachelor honours program, your overall mark in this course will be one of the course marks that will be used to calculate the weighted average mark (WAM) that will determine your award level. This applies to students who commence enrolment in a bachelor honours program from 1 January 2016 onwards. See the WAM information web page for more information.( http://www1.rmit.edu.au/browse;ID=eyj5c0mo77631) http://www1.rmit.edu.au/browse;ID=eyj5c0mo77631","This course contributes to the following Program Learning Outcomes (PLOs) for BP215 Games and Graphics Programming. Upon successful completion of this course you should be able to: describe real-time rendering, the graphics pipeline and factors affecting graphics performance. implement and debug shader programs, for lighting, texturing and other operations and explain shaders and the idea of the programmable graphics pipeline. use benchmarking and other related techniques to analyse and optimise graphics performance. describe and implement intersection detection and collision detection techniques along with spatial data structures. implement simple games using the techniques and technologies studied. analyse and describe how capabilities provided in game engines and SDKs are implemented. describe real-time rendering, the graphics pipeline and factors affecting graphics performance. implement and debug shader programs, for lighting, texturing and other operations and explain shaders and the idea of the programmable graphics pipeline. use benchmarking and other related techniques to analyse and optimise graphics performance. describe and implement intersection detection and collision detection techniques along with spatial data structures. implement simple games using the techniques and technologies studied. analyse and describe how capabilities provided in game engines and SDKs are implemented",Real-Time Rendering and 3D Games Programming
ISYS1073,"The course allows you to explore the principles and practice of up-to-date conceptual and practical knowledge on recent developments in database technology, specifically data warehousing. Topics include overview of data warehousing, Data warehouse design, OLAP technologies, Data warehousing in practice, and Data mining in data warehouses","Development of student graduate capabilities is an on-going process that takes place in all courses and over the period of the whole program. In this course you will specifically address the following capabilities in: • enabling knowledge (deductive databases, data warehousing and data mining), • critical analysis (in implementing deductive database solutions, undertaking data mining exercises, and in setting up and managing data warehouses), and. • responsibility (appropriate use of stored data, especially business data). On successful completion of this course, you will be able to: • analyse a database problem and determine whether a deductive system will be superior to a purely relational system by comparing the relational approach to a deductive solution; • communicate the evolution and reasons for how and why a deductive approach differs from the pure relational model; • implement a deductive solution to a database problem using a commercial database system that supports these facilities; • demonstrate your understanding of optimisations used in the construction of actual deductive systems by solving problems using a variety of optimisation strategies and commenting on the strengths and limitations of optimisation strategies; • define what knowledge discovery and data mining are; • define the concept, structure and major issues of data warehousing; • develop general awareness of data warehousing project management; • apply multi-dimensional modelling techniques in designing data warehouses; • apply the online analytical processing (OLAP) technology for decision support; • apply data cubing techniques; and. • use knowledge discovery in data warehouses",Knowledge and Data Warehousing
COSC1235,"Peer-to-Peer networks have provided success applications for sharing resource in recent years. Base on the infrastructure of communications technology, started from sharing computing resources, such as bandwidth, storage and processing power, sharing physical sources has become the new trend in peer to peer applications. This course is about advanced network applications and associate networking technologies. It is designed to help you integrate your knowledge of networking and computing to analyse and design effective platforms for network based advanced applications. Topics covered include fundamentals of computing and networking, peer to peer computing and associate applications. You will develop your critical thinking skills in this course to the point where you are able to systematically analyse peer to peer to computing issues at a high level of theoretical abstraction and at the same time be able to apply this knowledge to real life peer to peer computing system design","Development of student capabilities is an on-going process that takes place in all courses and over the period of the whole program. This course gives you the following learning outcomes and capabilities: CLO1: Knowledge about the concept of peer to peer networks, history and motivation of peer to peer computing. CLO2: Understanding basics of unstructured peer to peer systems including centralized peer to peer networks, pure peer to peer networks and hybrid peer to peer networks. CLO 3: Acquiring solid knowledge of structured peer to peer systems including self-organization dynamics of the peer to peer systems, load-balancing and reliability issues. CLO 4: Ability to applying concepts of overlay networks to analyse and design advanced file distribution and searching algorithms, mainly in the context of structured peer to peer systems, e.g., distributed hash tables. CLO 5: Capabilities of critical analysis of security issues of peer to peer computing systems and ability to address these issues. CLO 6: Understanding popular applications of peer to peer systems: Video Streaming, Bitcoin and Blockchain. CLO1: Knowledge about the concept of peer to peer networks, history and motivation of peer to peer computing. CLO2: Understanding basics of unstructured peer to peer systems including centralized peer to peer networks, pure peer to peer networks and hybrid peer to peer networks. CLO 3: Acquiring solid knowledge of structured peer to peer systems including self-organization dynamics of the peer to peer systems, load-balancing and reliability issues. CLO 4: Ability to applying concepts of overlay networks to analyse and design advanced file distribution and searching algorithms, mainly in the context of structured peer to peer systems, e.g., distributed hash tables. CLO 5: Capabilities of critical analysis of security issues of peer to peer computing systems and ability to address these issues. CLO 6: Understanding popular applications of peer to peer systems: Video Streaming, Bitcoin and Blockchain",Peer-to-Peer Networks
COSC1197,"The course aims to provide an understanding of the principles on which the Internet and other distributed systems are based; their architecture, algorithms and how they meet the demands of contemporary distributed applications. The course covers the building blocks for a study of distributed systems, and addressing the characteristics and the challenges that must be addressed in their design: scalability, heterogeneity, security and failure handling being the most significant. This course also covers issues and solutions related to the design and the implementation of distributed applications. The course assumes a general knowledge of computers, and the assignments require Java programming skills","This course is an elective so it is not required to contribute to Program Learning Outcomes. Upon successful completion of this course you should be able to: CLO 1: demonstrate knowledge of the basic elements and concepts related to distributed system technologies; CLO 2: demonstrate knowledge of the core architectural aspects of distributed systems; CLO 3: design and implement distributed applications; CLO 4: demonstrate knowledge of details the main underlying components of distributed systems (such as RPC, file systems); CLO 5: use and apply important methods in distributed systems to support scalability and fault tolerance; CLO 6: demonstrate experience in building large-scale distributed applications. CLO 1: demonstrate knowledge of the basic elements and concepts related to distributed system technologies; CLO 2: demonstrate knowledge of the core architectural aspects of distributed systems; CLO 3: design and implement distributed applications; CLO 4: demonstrate knowledge of details the main underlying components of distributed systems (such as RPC, file systems); CLO 5: use and apply important methods in distributed systems to support scalability and fault tolerance; CLO 6: demonstrate experience in building large-scale distributed applications",Distributed Systems
COSC2406,"The course aims to deepen your knowledge of database systems. You will cover the design and implementation of file structures, indexing and analytical details that will enable you to understand efficiency in query evaluation. The concept of the transaction is introduced along with the necessity of concurrency control and serialisability. Issues of backup and recovery for databases are also introduced","Upon successful completion of this course you should have gained a thorough understanding of the file structures and advanced concepts in database systems. In particular, you should be able to: CLO 1: Explain data structures and algorithms used to efficiently store and retrieve information in database systems. CLO 2: Evaluate and compare alternative designs for implementation of database systems, including data models, file structures, index schemes, and query evaluation. CLO 3: Analyse techniques for transaction processing, concurrency control, backup and recovery that maintain data integrity in database systems. CLO 4: Design and implement significant software components of a database system (such as file structures and index schemes) according to specified requirements and constraints. CLO 1: Explain data structures and algorithms used to efficiently store and retrieve information in database systems. CLO 2: Evaluate and compare alternative designs for implementation of database systems, including data models, file structures, index schemes, and query evaluation. CLO 3: Analyse techniques for transaction processing, concurrency control, backup and recovery that maintain data integrity in database systems. CLO 4: Design and implement significant software components of a database system (such as file structures and index schemes) according to specified requirements and constraints. Upon successful of this course you should have gained a thorough understanding of the file structures and advanced concepts in database systems. In particular, you should be able to: CLO 1: Explain and critique data structures and algorithms used to efficiently store and retrieve information in database systems. CLO 2: Evaluate, critically analyse and compare alternative designs for implementation of database systems, including data models, file structures, index schemes, and query evaluation. CLO 3: Analyse techniques for transaction processing, concurrency control, backup and recovery that maintain data integrity in database systems. CLO 4: Design, implement and report on significant software components of a database system (such as file structures and index schemes) according to analysis of requirements and specified constraints. CLO 1: Explain and critique data structures and algorithms used to efficiently store and retrieve information in database systems. CLO 2: Evaluate, critically analyse and compare alternative designs for implementation of database systems, including data models, file structures, index schemes, and query evaluation. CLO 3: Analyse techniques for transaction processing, concurrency control, backup and recovery that maintain data integrity in database systems. CLO 4: Design, implement and report on significant software components of a database system (such as file structures and index schemes) according to analysis of requirements and specified constraints",Database Systems
COSC1127,"This course introduces you to the basic concepts and techniques of Artificial Intelligence (AI). AI is the sub-area of computer science devoted to creating software and hardware to get computers to do things that would be considered ‘intelligent’ as if people did them. Artificial intelligence has had an active and exciting history and is now a reasonably mature area of computer science. Many of the research discoveries have now reached the point of industrial application and. many companies have made and saved millions of dollars by exploiting the results of AI research. However the goal of emulating human intelligence has not been reached and many stimulating and challenging problems remain. All serious programmers and software engineers should know about the major AI techniques, which are regarded by many the core knowledge of any Computer Science degree. This course will allow you to gain generic problem solving skills that have applicability to a wide range of real-world problems. Topics covered include search strategies for solving problems, knowledge representation, automated planning, intelligent agents, reasoning under uncertainty, bio-inspired optimisation, and machine learning","Upon successful completion of this course you should be able to: CLO 1: describe the key components of the artificial intelligence (AI) field and its relation and role in Computer Science; CLO 2: identify and describe artificial intelligence techniques, including search heuristics, knowledge representation, automated planning and agent systems, machine learning, and probabilistic reasoning; CLO 3: identify and apply AI techniques to a wide range of problems, including complex problem solving via search, knowledge-base systems, machine learning, probabilistic models, agent decision making, etc.; CLO 4: design and implement appropriate AI solution techniques for such problems; CLO 1: describe the key components of the artificial intelligence (AI) field and its relation and role in Computer Science; CLO 2: identify and describe artificial intelligence techniques, including search heuristics, knowledge representation, automated planning and agent systems, machine learning, and probabilistic reasoning; CLO 3: identify and apply AI techniques to a wide range of problems, including complex problem solving via search, knowledge-base systems, machine learning, probabilistic models, agent decision making, etc.; CLO 4: design and implement appropriate AI solution techniques for such problems; CLO 5: analyse and understand the computational trade-offs involved in applying different AI techniques and models. CLO 6: Communicate clearly and effectively using the technical language of the field correctly. CLO 5: analyse and understand the computational trade-offs involved in applying different AI techniques and models. CLO 6: Communicate clearly and effectively using the technical language of the field correctly",Artificial Intelligence
COSC1204,"The course provides a foundation in agent-based modelling and simulation techniques for understanding complex systems. Agent-based models (ABMs) work by representing the entities (agents) of a system and their interactions from which system-level phenomena emerge. Examples of emergent phenomena that can be represented with ABMs include flocking in birds, traffic congestion on roads, and spread of infection in a population. In this course you will learn how to design, implement, use, analyse, and critique agent-based models of complex systems. You will construct “what-if” scenarios, and implement “policy interventions”, to examine how exogenous changes can perturb the system, and use critical analysis to determine likely impacts of proposed changes. This is a studio-style course, with a strong emphasis on learning by doing. Please note that if you take this course for a bachelor honours program, your overall mark in this course will be one of the course marks that will be used to calculate the weighted average mark (WAM) that will determine your award level. This applies to students who commence enrolment in a bachelor honours program from 1 January 2016 onwards. See the WAM information web page for more information.( http://www1.rmit.edu.au/browse;ID=eyj5c0mo77631) http://www1.rmit.edu.au/browse;ID=eyj5c0mo77631",This course contributes to the following Program Learning Outcomes in BP094 Bachelor of Computer Science and BP096 Bachelor of Software Engineering: The objective of this course is to develop an understanding of and gain experience with agent-based modelling and simulation concepts and technology. Upon successful completion of this course students should be able to,Agent-Oriented Programming and Design
ISYS2405,"Rapid changes in software engineering practices and advances in underlying hardware have resulted in exponential growth in the scope, scale and complexity of software systems over the last 20 years. Parallel systems and systems created through composition have added a new dimension to this complexity. Large software systems today can contain many concurrent components interacting in complex ways. New techniques have to be developed to ensure that the interaction between components do not violate overriding goals and constraints. Constraints can include e.g. synchronisation, timing and semantic constraints. This is a reading course where students are expected to survey a number of recent papers relating to the topic of software engineering for large scale systems. Students are expected to critically analyze papers and make regular presentations. The first few weeks of the course will highlight topics in software architecture, modelling of concurrency systems and parallel computing. Students will be allocated topics within the above areas of interest and will be expected to work closely with one or more teaching/research staff","A primary objective of this course is to prepare prospective postgraduate research students for independent research under supervision in this and related areas. Therefore on succesfully complete this course, you will have demonstrated the ability to conduct research assistance under the direction of a researcher with a high level of independence to: identify and present research problems related to software engineering of large scale systems; critically analyze research done by others in solving such problems; learn and apply existing research techniques and tools to new problems; abstract a real problem into main logical components; present logical arguments in a coherent way; propose new ways of modifying, extending or combining existing methodologies; identify and present research problems related to software engineering of large scale systems; critically analyze research done by others in solving such problems; learn and apply existing research techniques and tools to new problems; abstract a real problem into main logical components; present logical arguments in a coherent way; propose new ways of modifying, extending or combining existing methodologies",Advanced Topics in Software Engineering
ISYS1084,"In this course you will apply the Object-Oriented Software Design Paradigm to the development of a complete software system. The primary focus of this course is the coverage of specific Object-Oriented Design Patterns from established pattern catalogues and a comparison of common Software Architectures. Additionally, Object-Oriented Software Engineering principles such as Refactoring and Design by Contract will be applied to form a continuous software quality process",Upon successful completion of this course you should be able to,Object Oriented Software Design
INTE2374,"This course complements Approved Industry Experience 1 and focuses on a number of key aspects of your work placement to gain familiarity with the trends and practices of software development in industry; to gain an appreciation of the professional aspects associated with software engineering; to reflect on the work placement and to place your experiences into the context of your personal growth. This course builds on your previous two years study in your program, which has provided you with the basic knowledge and understanding of the processes, technologies and applications in the area of software engineering","This course contributes to the following program learning outcomes: You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. You will be required to accept responsibility for your own learning and make informed decisions about judging and adopting appropriate behaviour in professional and social situations. This includes accepting the responsibility for independent life-long learning. Specifically, you will learn to: effectively apply relevant standards, ethical considerations, and an understanding of legal and privacy issues to designing software applications and IT systems. Upon successful completion of this course you should be able to: demonstrate written and spoken communication skills through the development of reports and presentations. analyse technical, ethical and professional issues that are relevant to concurrent workplace experience. evaluate the effectiveness of problem solutions encountered in the workplace, such as the design and implementation of software and other technologies. reflect on the relevance of your approved industry experience to professional responsibility and life-long learning. relate your experiences to your existing knowledge, understanding and attitudes. communicate effectively with a variety of audiences through a range of modes and media. analyse your experiences to synthesise new knowledge, understanding and attitudes. use your experiences to develop a longer-term perspective on your future career development. demonstrate written and spoken communication skills through the development of reports and presentations. analyse technical, ethical and professional issues that are relevant to concurrent workplace experience. evaluate the effectiveness of problem solutions encountered in the workplace, such as the design and implementation of software and other technologies. reflect on the relevance of your approved industry experience to professional responsibility and life-long learning. relate your experiences to your existing knowledge, understanding and attitudes. communicate effectively with a variety of audiences through a range of modes and media. analyse your experiences to synthesise new knowledge, understanding and attitudes. use your experiences to develop a longer-term perspective on your future career development",Software Engineering Principles and Practice 1
INTE2377,"This course is associated with industry experience in a full-time employment position, which is related or relevant to a future career in the field of your degree program. This course is intended to combine with INTE2376 Approved Industry Experience 1 to form two semesters of continuous approved industry experience. The placement is for a minimum period of 40 weeks. Note: This course includes a work integrated learning experience in which your knowledge and skills will be applied and assessed in a real or simulated workplace context and where feedback from industry and/ or community is integral to your experience. Please contact the Course Coordinator for internship approval and completion of the WIL forms","This course contributes to the following program learning outcomes: You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: -- analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. -- evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. You will be required to accept responsibility for your own learning and make informed decisions about judging and adopting appropriate behaviour in professional and social situations. This includes accepting the responsibility for independent life-long learning. Specifically, you will learn to: effectively apply relevant standards, ethical considerations, and an understanding of legal and privacy issues to designing software applications and IT systems. Upon successful completion of this course you should be able to: CLO 1: critically analyse and evaluate all aspects of your work in industry, including technology, tools and methods and solutions. CLO 2: design and implement software engineering solutions that accommodate specific workplace requirements and constraints, based on industry specifications. CLO 3: communicate effectively in oral and written forms for a variety of purposes and in a range of industry contexts, relevant to your professional activities. CLO 4: establish and effectively use/manage interpersonal networks and manage relationships in a range of settings. CLO 5: adapt to change to workplace conditions flexibly and responsibly. CLO 6: work across a variety of information technology platforms and environments. CLO 7: identify, assess and take advantage of opportunities in the workplace. CLO 8: prove an understanding of and proficiency with the industry processes and standards relevant to your degree. CLO 1: critically analyse and evaluate all aspects of your work in industry, including technology, tools and methods and solutions. CLO 2: design and implement software engineering solutions that accommodate specific workplace requirements and constraints, based on industry specifications. CLO 3: communicate effectively in oral and written forms for a variety of purposes and in a range of industry contexts, relevant to your professional activities. CLO 4: establish and effectively use/manage interpersonal networks and manage relationships in a range of settings. CLO 5: adapt to change to workplace conditions flexibly and responsibly. CLO 6: work across a variety of information technology platforms and environments. CLO 7: identify, assess and take advantage of opportunities in the workplace. CLO 8: prove an understanding of and proficiency with the industry processes and standards relevant to your degree",Approved Industry Experience 2
INTE2376,"This course is associated with industry experience in a full-time employment position, which is related or relevant to a future career in the field of your degree program. This course is intended to combine with INTE2377 Approved Industry Experience 2 to form two semesters of continuous approved industry experience. The placement is for a minimum period of 40 weeks. Note: This course includes a work integrated learning experience in which your knowledge and skills will be applied and assessed in a real or simulated workplace context and where feedback from industry and/ or community is integral to your experience","This course contributes to the following program learning outcomes: Enabling Knowledge: Enabling Knowledge: You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: -- analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. -- evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. You will learn to communicate effectively with a variety of audiences through a range of modes and media, in particular to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. You will be required to accept responsibility for your own learning and make informed decisions about judging and adopting appropriate behaviour in professional and social situations. This includes accepting the responsibility for independent life-long learning. Specifically, you will learn to: effectively apply relevant standards, ethical considerations, and an understanding of legal and privacy issues to designing software applications and IT systems. Upon successful completion of this course you should be able to: critically analyse and evaluate all aspects of your work in industry, including technology, tools and methods and solutions. design and implement software engineering solutions that accommodate specific workplace requirements and constraints, based on industry specifications. communicate effectively in oral and written forms for a variety of purposes and in a range of industry contexts, relevant to your professional activities. establish and effectively use/manage interpersonal networks and manage relationships in a range of settings. adapt to change to workplace conditions flexibly and responsibly. work across a variety of information technology platforms and environments. identify, assess and take advantage of opportunities in the workplace. prove an understanding of and proficiency with the industry processes and standards relevant to your degree. critically analyse and evaluate all aspects of your work in industry, including technology, tools and methods and solutions. design and implement software engineering solutions that accommodate specific workplace requirements and constraints, based on industry specifications. communicate effectively in oral and written forms for a variety of purposes and in a range of industry contexts, relevant to your professional activities. establish and effectively use/manage interpersonal networks and manage relationships in a range of settings. adapt to change to workplace conditions flexibly and responsibly. work across a variety of information technology platforms and environments. identify, assess and take advantage of opportunities in the workplace. prove an understanding of and proficiency with the industry processes and standards relevant to your degree",Approved Industry Experience 1
COSC1114,"This course builds on skills gained in preliminary programming courses in both Java and C programming languages and gives you an in-depth understanding of designing and implementing operating systems. The course covers both theoretical and practical challenges encountered when designing, implementing, and using operating systems. We also evaluate trade-offs between conflicting objectives in large scale system design. Core topics include operating system structure, hardware interfaces and abstraction, process scheduling and dispatch, threading, synchronization, interprocess communications, memory management, file systems, system security and protection, and virtualisation","This course is an option course so it is not required to contribute to the development of program learning outcomes (PLOs) though it may assist your achievement of several PLOs. Upon successful completion of this course you should be able to: Describe how computing resources (such as CPU and memory) are managed by the operating system, describe the basic principles used in the design of modern operating systems. Summarise the full range of considerations in the design of file systems, summarise techniques for achieving synchronisation in an operation system, Explain the objective and functions of modern operating systems, explain memory hierarchy and cost-performance trade-offs, explain the operation, implementation and performance of modern operating systems, and the relative merits and suitability of each for complex user applications. Compare and contrast the common algorithms used for both pre-emptive and non-pre-emptive scheduling of tasks in operating systems, such a priority, performance comparison, and fair-share schemes. Contrast kernel and user mode in an operating system. Evaluate and report appropriate design choices when solving real-world problems. Analyse the key trade-offs between multiple approaches to operating system design. Describe how computing resources (such as CPU and memory) are managed by the operating system, describe the basic principles used in the design of modern operating systems. Summarise the full range of considerations in the design of file systems, summarise techniques for achieving synchronisation in an operation system, Explain the objective and functions of modern operating systems, explain memory hierarchy and cost-performance trade-offs, explain the operation, implementation and performance of modern operating systems, and the relative merits and suitability of each for complex user applications. Compare and contrast the common algorithms used for both pre-emptive and non-pre-emptive scheduling of tasks in operating systems, such a priority, performance comparison, and fair-share schemes. Contrast kernel and user mode in an operating system. Evaluate and report appropriate design choices when solving real-world problems. Analyse the key trade-offs between multiple approaches to operating system design",Operating Systems Principles
ISYS1118,"This course is designed to provide you opportunity to gain knowledge and skills necessary to analyse, design and implement complex software engineering projects. You should learn to analyse and design fairly complex real-life systems, working as teams. The project based approach used requires you to review and refine your design iteratively based on regular feedback from staff. You are also made aware of current software engineering standards and processes. You are also taught to consider qualitative aspects including maintainability, extensibility, reusability and robustness in every stage of the software-engineering life-cycle. At the end of the course you should be able to combine top-down and bottom-up approaches to software design and choose the most appropriate process considering the underlying technology, project duration, the level of risks and the customer expectations","This course contributes to the following Program Learning Outcomes (PLOs) for. BP094 Bachelor of Computer Science, BP096 and Bachelor of Software Engineering, and. MC208 Master of Information Technology, and. MC061 Master of Computer Science. You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, to: analyse and model requirements and constraints for designing and implementing software artefacts and IT systems. evaluate and compare designs of software artefacts and IT systems based on organisational and user requirements. analyse and model requirements and constraints for designing and implementing software artefacts and IT systems. evaluate and compare designs of software artefacts and IT systems based on organisational and user requirements. Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. You will learn to communicate effectively with a variety of audiences through a range of modes and media to: present a clear, coherent and independent exposition of software applications, alternative IT solutions, and decision recommendations to both IT and non-IT personnel via technical reports of professional standard and technical presentations. You will learn to work as an effective and productive team member in a range of professional and social situations, in particular to: work effectively in different roles, to form, manage, and successfully produce outcomes from teams, whose members may have diverse cultural backgrounds and life circumstances, and differing levels of technical expertise. You will be required to accept responsibility for your own learning and make informed decisions about judging and adopting appropriate behaviour in professional and social situations. This includes accepting the responsibility for independent life-long learning. Specifically, you will learn to: effectively apply relevant standards, ethical considerations, and an understanding of legal and privacy issues to designing software applications and IT systems. Upon successful completion of this course you should be able to: CLO 1: explain and apply the main aspects of software engineering. CLO 2: evaluate requirements for a software system. CLO 3: apply the process of analysis and design using the object-oriented approach. CLO 4: work effectively in a team to analyse the requirements of a complex software system, and solve problems by creating appropriate designs that satisfies these requirements. CLO 5: communicate effectively with others, especially regarding the progress of the system development and the content of the design by means of reports and presentations. Use appropriate design, version control and collaboration tools to work effectively as a team. CLO 6: recognise and describe current trends in the area of software engineering. CLO 7: implement the design using an appropriate object oriented language. CLO 1: explain and apply the main aspects of software engineering. CLO 2: evaluate requirements for a software system. CLO 3: apply the process of analysis and design using the object-oriented approach. CLO 4: work effectively in a team to analyse the requirements of a complex software system, and solve problems by creating appropriate designs that satisfies these requirements. CLO 5: communicate effectively with others, especially regarding the progress of the system development and the content of the design by means of reports and presentations. Use appropriate design, version control and collaboration tools to work effectively as a team. CLO 6: recognise and describe current trends in the area of software engineering. CLO 7: implement the design using an appropriate object oriented language. Postgraduate students should also be able to. CLO 8: implement the design using an appropriate object oriented language. CLO 8: implement the design using an appropriate object oriented language",Software Engineering Fundamentals
COSC1107,"Computing Theory introduces you to foundational issues in computer science. The emphasis is on understanding and applying foundational concepts and techniques. You will learn and apply fundamental theories of computing to computing problems. Topics include the study of formal models of computation and computability properties, measuring time requirements for a computation approaches to difficult problems, the use of grammars to specify syntax rules","This course contributes to the following Program Learning Outcomes in BP094 Bachelor of Computer Science and BP096 Bachelor of Software Engineering: You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: - Analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. Evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: - Design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Upon successful completion of this course you should be able to: CLO 1: Identify the core concepts and notions of fundamental theories of computing. CLO 2: Discriminate between core ideas of computation and computing technology. CLO 3: Analyse and compare the characteristics of different types of computational models and problems and of different models of computation. CLO 4: Design and implement solutions to a wide range of problems, including constructing grammars or automatons for given formal languages and specifying formal languages for given grammars or automatons. CLO 5: Communicate clearly and effectively using the technical language of the field correctly. CLO 1: Identify the core concepts and notions of fundamental theories of computing. CLO 2: Discriminate between core ideas of computation and computing technology. CLO 3: Analyse and compare the characteristics of different types of computational models and problems and of different models of computation. CLO 4: Design and implement solutions to a wide range of problems, including constructing grammars or automatons for given formal languages and specifying formal languages for given grammars or automatons. CLO 5: Communicate clearly and effectively using the technical language of the field correctly",Computing Theory
ISYS1057,"Databases and the database technology are having a major impact on the growing use of computers. They play a critical role in almost all areas where computers are used. This course is an introduction to the principles, use, and applications of database systems. It assumes no previous knowledge of databases or database technologies. This course focuses on developing skills in designing databases for efficient data management and SQL programming for querying and using databases for various database applications","This course contributes to the following Program Learning Outcomes (PLOs) for. BP094 Bachelor of Computer Science, BP096 Bachelor of Software Engineering, BH091 Bachelor of Engineering (Computer and Network Engineering) (Honours)/Bachelor of Computer Science, BH094 Bachelor of Engineering (Telecommunications Engineering)(Honours)/Bachelor of Computer Science and. BH119 Bachelor of Analytics. BP094 Bachelor of Computer Science, BP096 Bachelor of Software Engineering, BH091 Bachelor of Engineering (Computer and Network Engineering) (Honours)/Bachelor of Computer Science, BH094 Bachelor of Engineering (Telecommunications Engineering)(Honours)/Bachelor of Computer Science and. BH119 Bachelor of Analytics. You will gain skills as you apply knowledge effectively in diverse contexts. You will learn to accurately and objectively examine and consider computer science and information technology (IT) topics, evidence, or situations, in particular to: Analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. Evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Analyse and model requirements and constraints for the purpose of designing and implementing software artefacts and IT systems. Evaluate and compare designs of software artefacts and IT systems on the basis of organisational and user requirements. Your capability to analyse problems and synthesise suitable solutions will be extended as you learn to: Design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Design and implement software solutions that accommodate specified requirements and constraints, based on analysis or modelling or requirements specification. Upon successful completion of this course you should be able to: CLO 1: Describe various data modelling and database system technologies. CLO 2: Explain the main concepts for data modelling and characteristics of database systems. CLO 3: Identify issues with and compare, justify relational database design using the functional dependency concepts. CLO 4: Apply SQL as a programming language to define database schemas and update database contents. CLO 5: Apply SQL as programming language to extract data from databases for specific users’ information needs. CLO 6: Design a database schema using conceptual modeling mechanisms such as entity-relationship diagrams. CLO 1: Describe various data modelling and database system technologies. CLO 2: Explain the main concepts for data modelling and characteristics of database systems. CLO 3: Identify issues with and compare, justify relational database design using the functional dependency concepts. CLO 4: Apply SQL as a programming language to define database schemas and update database contents. CLO 5: Apply SQL as programming language to extract data from databases for specific users’ information needs. CLO 6: Design a database schema using conceptual modeling mechanisms such as entity-relationship diagrams",Database Concepts
